mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_silent,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
496.8565013408661,2.68857364654541,0.7638597058348149,1.0,0.6,0.02,0.1,8,2,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",7,0.765511684125705,1.0,0.7764326069410815,1.0,0.7641357027463651,1.0,0.7572815533980582,1.0,0.7558799675587997,1.0,2.075354316316597,0.15192605246598412,0.007318037399710238,0.0
477.3241060256958,2.521342706680298,0.7628899304994343,0.9996363471729641,0.6,0.02,0.1,8,5,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",9,0.7534246575342466,0.9993934492519208,0.7707828894269573,1.0,0.7641357027463651,0.9997979389775712,0.7629449838187702,0.9993940618056958,0.7631792376317924,0.9995962858296327,2.150910013457096,0.2620431194970077,0.005547441345463351,0.00023565305022274502
513.4625404834748,2.5918402671813965,0.7607887506061096,1.0,0.6,0.02,0.1,12,2,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 2, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",16,0.7518130539887188,1.0,0.7715899919289749,1.0,0.7576736672051696,1.0,0.7588996763754046,1.0,0.7639902676399026,1.0,1.5426785820827125,0.17153176459147831,0.006649833999658198,0.0
492.2289615631104,2.3416628360748293,0.7619201551640536,0.9996767430525842,0.6,0.02,0.1,12,5,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",13,0.7550362610797744,0.9993934492519208,0.7635189669087974,1.0,0.7681744749596123,0.9997979389775712,0.7588996763754046,0.9995960412037972,0.7639902676399026,0.9995962858296327,1.7784555790282655,0.05713001075852394,0.0045299878569378706,0.0002061189156303167
463.25154123306277,2.1810840129852296,0.7604654921609827,1.0,0.6,0.02,0.15,8,2,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.15, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",19,0.7542304593070105,1.0,0.7651331719128329,1.0,0.7625201938610663,1.0,0.7621359223300971,1.0,0.7583130575831306,1.0,0.5609421565172634,0.15800008044374958,0.0038060916722405034,0.0
445.98317608833315,2.223286819458008,0.758364312267658,0.9997171144696211,0.6,0.02,0.15,8,5,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.15, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",28,0.7518130539887188,0.9993934492519208,0.7691686844229217,1.0,0.7560581583198708,0.9997979389775712,0.7580906148867314,0.9995960412037972,0.7566909975669099,0.9997981429148163,1.8174055071317714,0.17980450571858594,0.005798534741611736,0.00020617484917426484
475.8905110836029,2.2941199779510497,0.7648294811701956,1.0,0.6,0.02,0.15,12,2,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.15, 'max_depth': 12, 'min_child_weight': 2, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",5,0.7526188557614827,1.0,0.7756255044390638,1.0,0.7697899838449112,1.0,0.7653721682847896,1.0,0.7607461476074615,1.0,1.4191702314130825,0.14880732383256012,0.007845571960500987,0.0
454.1730669498444,2.1800692081451416,0.755778244706643,0.9997171144696211,0.6,0.02,0.15,12,5,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.15, 'max_depth': 12, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",35,0.7461724415793715,0.9993934492519208,0.7667473769168685,1.0,0.7568659127625202,0.9997979389775712,0.7516181229773463,0.9995960412037972,0.7575020275750203,0.9997981429148163,1.386777372850827,0.16202575436211952,0.00684761026985933,0.00020617484917426484
444.5452956676483,2.0613996505737306,0.7593340876030387,1.0,0.6,0.02,0.2,8,2,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.2, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",25,0.7485898468976632,1.0,0.7659402744148507,1.0,0.7633279483037156,1.0,0.7710355987055016,1.0,0.7477696674776967,1.0,0.7753609790975328,0.10036671536237766,0.009438877715721354,0.0
424.89634866714476,1.8991487503051758,0.7570712784871505,0.9997575103492414,0.6,0.02,0.2,8,5,1000,1,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.02, 'learning_rate': 0.2, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': 1, 'subsample': 0.7}",32,0.7493956486704271,0.9993934492519208,0.7659402744148507,1.0,0.7568659127625202,0.9997979389775712,0.7564724919093851,0.9997980206018986,0.7566909975669099,0.9997981429148163,2.203922989116878,0.07490609840333724,0.0052610251680484344,0.0001981253508521903
